CÓDIGO DO MUNICÍPIO - TOM;CÓDIGO DO MUNICÍPIO - IBGE;MUNICÍPIO - TOM;MUNICÍPIO - IBGE;UF;REGIAO
2833;2706703;PENEDO;Penedo;AL;NORDESTE
2835;2706802;PIAÇABUÇU;Piaçabuçu;AL;NORDESTE
2837;2706901;PILAR;Pilar;AL;NORDESTE
2839;2707008;PINDOBA;Pindoba;AL;NORDESTE
2841;2707107;PIRANHAS;Piranhas;AL;NORDESTE
2843;2707206;POÇO DAS TRINCHEIRAS;Poço das Trincheiras;AL;NORDESTE
2845;2707305;PORTO CALVO;Porto Calvo;AL;NORDESTE
2847;2707404;PORTO DE PEDRAS;Porto de Pedras;AL;NORDESTE
2849;2707503;PORTO REAL DO COLÉGIO;Porto Real do Colégio;AL;NORDESTE
2851;2707602;QUEBRANGULO;Quebrangulo;AL;NORDESTE
2853;2707701;RIO LARGO;Rio Largo;AL;NORDESTE
2855;2707800;ROTEIRO;Roteiro;AL;NORDESTE
2857;2707909;SANTA LUZIA DO NORTE;Santa Luzia do Norte;AL;NORDESTE
2859;2708006;SANTANA DO IPANEMA;Santana do Ipanema;AL;NORDESTE
2861;2708105;SANTANA DO MUNDAÚ;Santana do Mundaú;AL;NORDESTE
2863;2708204;SÃO BRÁS;São Brás;AL;NORDESTE
2865;2708303;SÃO JOSÉ DA LAJE;São José da Laje;AL;NORDESTE
2867;2708402;SÃO JOSÉ DA TAPERA;São José da Tapera;AL;NORDESTE
2869;2708501;SÃO LUÍS DO QUITUNDE;São Luís do Quitunde;AL;NORDESTE
2871;2708600;SÃO MIGUEL DOS CAMPOS;São Miguel dos Campos;AL;NORDESTE
2873;2708709;SÃO MIGUEL DOS MILAGRES;São Miguel dos Milagres;AL;NORDESTE
2875;2708808;SÃO SEBASTIÃO;São Sebastião;AL;NORDESTE
2877;2708907;SATUBA;Satuba;AL;NORDESTE
2879;2709004;TANQUE D'ARCA;Tanque d'Arca;AL;NORDESTE
2881;2709103;TAQUARANA;Taquarana;AL;NORDESTE
2883;2709202;TRAIPU;Traipu;AL;NORDESTE
2885;2709301;UNIÃO DOS PALMARES;União dos Palmares;AL;NORDESTE
2887;2709400;VIÇOSA;Viçosa;AL;NORDESTE
2889;2702355;CRAÍBAS;Craíbas;AL;NORDESTE
2891;2708956;SENADOR RUI PALMEIRA;Senador Rui Palmeira;AL;NORDESTE
201;1303205;NOVO AIRÃO;Novo Airão;AM;NORTE
203;1300102;ANORI;Anori;AM;NORTE
205;1300201;ATALAIA DO NORTE;Atalaia do Norte;AM;NORTE
207;1300300;AUTAZES;Autazes;AM;NORTE
209;1300409;BARCELOS;Barcelos;AM;NORTE
211;1300508;BARREIRINHA;Barreirinha;AM;NORTE
213;1300607;BENJAMIN CONSTANT;Benjamin Constant;AM;NORTE
215;1300706;BOCA DO ACRE;Boca do Acre;AM;NORTE
217;1300805;BORBA;Borba;AM;NORTE
219;1300904;CANUTAMA;Canutama;AM;NORTE
221;1301001;CARAUARI;Carauari;AM;NORTE
223;1301100;CAREIRO;Careiro;AM;NORTE
225;1301209;COARI;Coari;AM;NORTE
227;1301308;CODAJÁS;Codajás;AM;NORTE
229;1301407;EIRUNEPÉ;Eirunepé;AM;NORTE
231;1301506;ENVIRA;Envira;AM;NORTE
233;1301605;FONTE BOA;Fonte Boa;AM;NORTE
235;1301704;HUMAITÁ;Humaitá;AM;NORTE
237;1303601;SANTA ISABEL DO RIO NEGRO;Santa Isabel do Rio Negro;AM;NORTE
239;1301803;IPIXUNA;Ipixuna;AM;NORTE
241;1301902;ITACOATIARA;Itacoatiara;AM;NORTE
243;1302009;ITAPIRANGA;Itapiranga;AM;NORTE
245;1302108;JAPURÁ;Japurá;AM;NORTE
247;1302207;JURUÁ;Juruá;AM;NORTE
249;1302306;JUTAÍ;Jutaí;AM;NORTE
251;1302405;LÁBREA;Lábrea;AM;NORTE
253;1302504;MANACAPURU;Manacapuru;AM;NORTE
255;1302603;MANAUS;Manaus;AM;NORTE
257;1302702;MANICORÉ;Manicoré;AM;NORTE
259;1302801;MARAÃ;Maraã;AM;NORTE
261;1302900;MAUÉS;Maués;AM;NORTE
263;1303007;NHAMUNDÁ;Nhamundá;AM;NORTE
265;1303106;NOVA OLINDA DO NORTE;Nova Olinda do Norte;AM;NORTE
267;1303304;NOVO ARIPUANÃ;Novo Aripuanã;AM;NORTE
269;1303403;PARINTINS;Parintins;AM;NORTE
271;1303502;PAUINI;Pauini;AM;NORTE
273;1303700;SANTO ANTÔNIO DO IÇÁ;Santo Antônio do Içá;AM;NORTE
275;1303908;SÃO PAULO DE OLIVENÇA;São Paulo de Olivença;AM;NORTE
277;1304005;SILVES;Silves;AM;NORTE
279;1304104;TAPAUÁ;Tapauá;AM;NORTE
281;1304203;TEFÉ;Tefé;AM;NORTE
283;1303809;SÃO GABRIEL DA CACHOEIRA;São Gabriel da Cachoeira;AM;NORTE
285;1304302;URUCARÁ;Urucará;AM;NORTE
287;1304401;URUCURITUBA;Urucurituba;AM;NORTE
289;1300029;ALVARÃES;Alvarães;AM;NORTE
291;1300060;AMATURÁ;Amaturá;AM;NORTE
293;1300086;ANAMÃ;Anamã;AM;NORTE
295;1300631;BERURI;Beruri;AM;NORTE
297;1300680;BOA VISTA DO RAMOS;Boa Vista do Ramos;AM;NORTE
299;1300839;CAAPIRANGA;Caapiranga;AM;NORTE
965;1301159;CAREIRO DA VÁRZEA;Careiro da Várzea;AM;NORTE
967;1301654;GUAJARÁ;Guajará;AM;NORTE
969;1300144;APUÍ;Apuí;AM;NORTE
9835;1301852;IRANDUBA;Iranduba;AM;NORTE
9837;1301951;ITAMARATI;Itamarati;AM;NORTE
9839;1302553;MANAQUIRI;Manaquiri;AM;NORTE
9841;1303536;PRESIDENTE FIGUEIREDO;Presidente Figueiredo;AM;NORTE
9843;1303569;RIO PRETO DA EVA;Rio Preto da Eva;AM;NORTE
9845;1303957;SÃO SEBASTIÃO DO UATUMÃ;São Sebastião do Uatumã;AM;NORTE
9847;1304062;TABATINGA;Tabatinga;AM;NORTE
9849;1304260;UARINI;Uarini;AM;NORTE
9851;1304237;TONANTINS;Tonantins;AM;NORTE
70;1600808;VITÓRIA DO JARI;Vitória do Jari;AP;NORTE
601;1600105;AMAPÁ;Amapá;AP;NORTE
603;1600204;CALÇOENE;Calçoene;AP;NORTE
605;1600303;MACAPÁ;Macapá;AP;NORTE
607;1600402;MAZAGÃO;Mazagão;AP;NORTE
609;1600501;OIAPOQUE;Oiapoque;AP;NORTE
611;1600238;FERREIRA GOMES;Ferreira Gomes;AP;NORTE
613;1600279;LARANJAL DO JARI;Laranjal do Jari;AP;NORTE
615;1600600;SANTANA;Santana;AP;NORTE
617;1600709;TARTARUGALZINHO;Tartarugalzinho;AP;NORTE
663;1600154;PEDRA BRANCA DO AMAPARI;Pedra Branca do Amapari;AP;NORTE
665;1600055;SERRA DO NAVIO;Serra do Navio;AP;NORTE
667;1600212;CUTIAS;Cutias;AP;NORTE
669;1600253;ITAUBAL;Itaubal;AP;NORTE
671;1600535;PORTO GRANDE;Porto Grande;AP;NORTE
673;1600550;PRACUÚBA;Pracuúba;AP;NORTE
3005;2922250;Muquém de São Francisco;Muquém do São Francisco;BA;NORDESTE
3007;2922730;NOVA FÁTIMA;Nova Fátima;BA;NORDESTE
3009;2922755;NOVA IBIÁ;Nova Ibiá;BA;NORDESTE
3011;2922854;NOVA REDENÇÃO;Nova Redenção;BA;NORDESTE
3013;2923035;NOVO HORIZONTE;Novo Horizonte;BA;NORDESTE
3015;2923050;NOVO TRIUNFO;Novo Triunfo;BA;NORDESTE
3017;2923357;OUROLÂNDIA;Ourolândia;BA;NORDESTE
3019;2924678;PIRAÍ DO NORTE;Piraí do Norte;BA;NORDESTE
3021;2925253;PONTO NOVO;Ponto Novo;BA;NORDESTE
3023;2925758;PRESIDENTE TANCREDO NEVES;Presidente Tancredo Neves;BA;NORDESTE
3025;2925931;QUIXABEIRA;Quixabeira;BA;NORDESTE
3027;2926657;RIBEIRÃO DO LARGO;Ribeirão do Largo;BA;NORDESTE
3029;2928950;SÃO DOMINGOS;São Domingos;BA;NORDESTE
3031;2929057;SÃO FÉLIX DO CORIBE;São Félix do Coribe;BA;NORDESTE
3033;2929370;SÃO JOSÉ DO JACUÍPE;São José do Jacuípe;BA;NORDESTE
3035;2929354;SÃO JOSÉ DA VITÓRIA;São José da Vitória;BA;NORDESTE
3037;2929750;SAUBARA;Saubara;BA;NORDESTE
3039;2930154;SERRA DO RAMALHO;Serra do Ramalho;BA;NORDESTE
3041;2930758;SÍTIO DO MATO;Sítio do Mato;BA;NORDESTE
3043;2930766;SÍTIO DO QUINTO;Sítio do Quinto;BA;NORDESTE
3045;2930774;SOBRADINHO;Sobradinho;BA;NORDESTE
3047;2932457;UMBURANAS;Umburanas;BA;NORDESTE
3049;2933174;VARZEDO;Varzedo;BA;NORDESTE
3051;2933257;VEREDA;Vereda;BA;NORDESTE
3069;2918555;JUSSARI;Jussari;BA;NORDESTE
3071;2901155;AMÉRICA DOURADA;América Dourada;BA;NORDESTE
3073;2902252;ARATACA;Arataca;BA;NORDESTE
3075;2903235;BARRO ALTO;Barro Alto;BA;NORDESTE
3079;2904753;BURITIRAMA;Buritirama;BA;NORDESTE
3081;2906857;CAPELA DO ALTO ALEGRE;Capela do Alto Alegre;BA;NORDESTE
3083;2906873;CAPIM GROSSO;Capim Grosso;BA;NORDESTE
3085;2906824;CANUDOS;Canudos;BA;NORDESTE
3087;2910057;DIAS D'ÁVILA;Dias d'Ávila;BA;NORDESTE
3089;2910750;FÁTIMA;Fátima;BA;NORDESTE
3091;2910859;FILADÉLFIA;Filadélfia;BA;NORDESTE
3093;2911253;GAVIÃO;Gavião;BA;NORDESTE
3095;2911659;GUAJERU;Guajeru;BA;NORDESTE
3097;2911857;HELIÓPOLIS;Heliópolis;BA;NORDESTE
3099;2918357;JOÃO DOURADO;João Dourado;BA;NORDESTE
3117;2910727;EUNÁPOLIS;Eunápolis;BA;NORDESTE
3253;2900355;ADUSTINA;Adustina;BA;NORDESTE
3255;2901353;ANDORINHA;Andorinha;BA;NORDESTE
3257;2901957;APUAREMA;Apuarema;BA;NORDESTE
3259;2902054;ARAÇAS;Araçás;BA;NORDESTE
3261;2902658;BANZAÊ;Banzaê;BA;NORDESTE
3263;2903953;BOM JESUS DA SERRA;Bom Jesus da Serra;BA;NORDESTE
3265;2904050;BONITO;Bonito;BA;NORDESTE
3267;2904852;CABACEIRAS DO PARAGUAÇU;Cabaceiras do Paraguaçu;BA;NORDESTE
3269;2905156;CAETANOS;Caetanos;BA;NORDESTE
3271;2906899;CARAÍBAS;Caraíbas;BA;NORDESTE
3273;2907558;CATURAMA;Caturama;BA;NORDESTE
3275;2910776;FEIRA DA MATA;Feira da Mata;BA;NORDESTE
3277;2913457;IGRAPIÚNA;Igrapiúna;BA;NORDESTE
3279;2914653;ITABELA;Itabela;BA;NORDESTE
3281;2915353;ITAGUAÇU DA BAHIA;Itaguaçu da Bahia;BA;NORDESTE
3283;2916856;ITATIM;Itatim;BA;NORDESTE
3285;2917334;IUIÚ;Iuiu;BA;NORDESTE
3287;2918456;JUCURUÇU;Jucuruçu;BA;NORDESTE
3289;2918753;LAGOA REAL;Lagoa Real;BA;NORDESTE
3291;2919058;Lajedo do Tabocal;Lajedo do Tabocal;BA;NORDESTE
