CÓDIGO DO MUNICÍPIO - TOM;CÓDIGO DO MUNICÍPIO - IBGE;MUNICÍPIO - TOM;MUNICÍPIO - IBGE;UF;REGIAO
9293;5204706;CAMPINORTE;Campinorte;GO;CENTRO-OESTE
9295;5204805;CAMPO ALEGRE DE GOIÁS;Campo Alegre de Goiás;GO;CENTRO-OESTE
9297;5204904;CAMPOS BELOS;Campos Belos;GO;CENTRO-OESTE
9299;5205000;CARMO DO RIO VERDE;Carmo do Rio Verde;GO;CENTRO-OESTE
9301;5205109;CATALÃO;Catalão;GO;CENTRO-OESTE
9303;5205208;CATURAÍ;Caturaí;GO;CENTRO-OESTE
9305;5205307;CAVALCANTE;Cavalcante;GO;CENTRO-OESTE
9307;5205406;CERES;Ceres;GO;CENTRO-OESTE
9309;5208301;DIVINÓPOLIS DE GOIÁS;Divinópolis de Goiás;GO;CENTRO-OESTE
9315;5205703;CÓRREGO DO OURO;Córrego do Ouro;GO;CENTRO-OESTE
9317;5205802;CORUMBÁ DE GOIÁS;Corumbá de Goiás;GO;CENTRO-OESTE
9319;5205901;CORUMBAÍBA;Corumbaíba;GO;CENTRO-OESTE
9325;5206206;CRISTALINA;Cristalina;GO;CENTRO-OESTE
9327;5206305;CRISTIANÓPOLIS;Cristianópolis;GO;CENTRO-OESTE
9329;5206404;CRIXÁS;Crixás;GO;CENTRO-OESTE
9331;5206503;CROMÍNIA;Cromínia;GO;CENTRO-OESTE
9333;5206602;CUMARI;Cumari;GO;CENTRO-OESTE
9335;5206701;DAMIANÓPOLIS;Damianópolis;GO;CENTRO-OESTE
9337;5206800;DAMOLÂNDIA;Damolândia;GO;CENTRO-OESTE
9339;5206909;DAVINÓPOLIS;Davinópolis;GO;CENTRO-OESTE
9343;5207105;DIORAMA;Diorama;GO;CENTRO-OESTE
9349;5207402;EDÉIA;Edéia;GO;CENTRO-OESTE
9351;5207501;ESTRELA DO NORTE;Estrela do Norte;GO;CENTRO-OESTE
9353;5207600;FAZENDA NOVA;Fazenda Nova;GO;CENTRO-OESTE
9357;5207808;FIRMINÓPOLIS;Firminópolis;GO;CENTRO-OESTE
9571;5218805;RIO VERDE;Rio Verde;GO;CENTRO-OESTE
9573;5218904;RUBIATABA;Rubiataba;GO;CENTRO-OESTE
9575;5219001;SANCLERLÂNDIA;Sanclerlândia;GO;CENTRO-OESTE
9577;5219100;SANTA BÁRBARA DE GOIÁS;Santa Bárbara de Goiás;GO;CENTRO-OESTE
9579;5219209;SANTA CRUZ DE GOIÁS;Santa Cruz de Goiás;GO;CENTRO-OESTE
9581;5219308;SANTA HELENA DE GOIÁS;Santa Helena de Goiás;GO;CENTRO-OESTE
9583;5219407;SANTA RITA DO ARAGUAIA;Santa Rita do Araguaia;GO;CENTRO-OESTE
9585;5219506;SANTA ROSA DE GOIÁS;Santa Rosa de Goiás;GO;CENTRO-OESTE
9587;5219605;SANTA TEREZA DE GOIÁS;Santa Tereza de Goiás;GO;CENTRO-OESTE
9589;5219704;SANTA TEREZINHA DE GOIÁS;Santa Terezinha de Goiás;GO;CENTRO-OESTE
9591;5219803;SÃO DOMINGOS;São Domingos;GO;CENTRO-OESTE
9593;5219902;SÃO FRANCISCO DE GOIÁS;São Francisco de Goiás;GO;CENTRO-OESTE
9595;5217609;PLANALTINA;Planaltina;GO;CENTRO-OESTE
9597;5220009;SÃO JOÃO D'ALIANÇA;São João d'Aliança;GO;CENTRO-OESTE
9599;5220108;SÃO LUÍS DE MONTES BELOS;São Luís de Montes Belos;GO;CENTRO-OESTE
9601;5220207;SÃO MIGUEL DO ARAGUAIA;São Miguel do Araguaia;GO;CENTRO-OESTE
9605;5220405;SÃO SIMÃO;São Simão;GO;CENTRO-OESTE
9607;5220504;SERRANÓPOLIS;Serranópolis;GO;CENTRO-OESTE
9609;5220603;SILVÂNIA;Silvânia;GO;CENTRO-OESTE
9611;5220702;SÍTIO D'ABADIA;Sítio d'Abadia;GO;CENTRO-OESTE
9617;5221007;TAQUARAL DE GOIÁS;Taquaral de Goiás;GO;CENTRO-OESTE
9623;5221304;TRÊS RANCHOS;Três Ranchos;GO;CENTRO-OESTE
9625;5221403;TRINDADE;Trindade;GO;CENTRO-OESTE
9631;5221502;TURVÂNIA;Turvânia;GO;CENTRO-OESTE
9633;5221601;URUAÇU;Uruaçu;GO;CENTRO-OESTE
9635;5221700;URUANA;Uruana;GO;CENTRO-OESTE
9637;5221809;URUTAÍ;Urutaí;GO;CENTRO-OESTE
9639;5221908;VARJÃO;Varjão;GO;CENTRO-OESTE
9641;5222005;VIANÓPOLIS;Vianópolis;GO;CENTRO-OESTE
9645;5200134;ACREÚNA;Acreúna;GO;CENTRO-OESTE
9647;5213087;MINAÇU;Minaçu;GO;CENTRO-OESTE
9651;5214051;MUNDO NOVO;Mundo Novo;GO;CENTRO-OESTE
9653;5214838;NOVA CRIXÁS;Nova Crixás;GO;CENTRO-OESTE
9655;5214861;NOVA GLÓRIA;Nova Glória;GO;CENTRO-OESTE
9657;5222054;VICENTINÓPOLIS;Vicentinópolis;GO;CENTRO-OESTE
9661;5200852;AMERICANO DO BRASIL;Americano do Brasil;GO;CENTRO-OESTE
9669;5202155;ARAGUAPAZ;Araguapaz;GO;CENTRO-OESTE
9671;5202353;ARENÓPOLIS;Arenópolis;GO;CENTRO-OESTE
9673;5204250;CACHOEIRA DOURADA;Cachoeira Dourada;GO;CENTRO-OESTE
9675;5207253;DOVERLÂNDIA;Doverlândia;GO;CENTRO-OESTE
9677;5219753;SANTO ANTÔNIO DO DESCOBERTO;Santo Antônio do Descoberto;GO;CENTRO-OESTE
9681;5209952;INDIARA;Indiara;GO;CENTRO-OESTE
9687;5204656;CAMPINAÇU;Campinaçu;GO;CENTRO-OESTE
9689;5219357;SANTA ISABEL;Santa Isabel;GO;CENTRO-OESTE
9735;5215256;NOVO PLANALTO;Novo Planalto;GO;CENTRO-OESTE
9737;5215652;PALESTINA DE GOIÁS;Palestina de Goiás;GO;CENTRO-OESTE
9743;5219258;SANTA FÉ DE GOIÁS;Santa Fé de Goiás;GO;CENTRO-OESTE
9747;5220058;SÃO JOÃO DA PARAÚNA;São João da Paraúna;GO;CENTRO-OESTE
9749;5220157;SÃO LUIZ DO NORTE;São Luiz do Norte;GO;CENTRO-OESTE
9751;5220264;SÃO MIGUEL DO PASSA QUATRO;São Miguel do Passa Quatro;GO;CENTRO-OESTE
9753;5220454;SENADOR CANEDO;Senador Canedo;GO;CENTRO-OESTE
9755;5220686;SIMOLÂNDIA;Simolândia;GO;CENTRO-OESTE
9759;5221080;TERESINA DE GOIÁS;Teresina de Goiás;GO;CENTRO-OESTE
9761;5221452;TROMBAS;Trombas;GO;CENTRO-OESTE
9765;5221551;TURVELÂNDIA;Turvelândia;GO;CENTRO-OESTE
9769;5200159;ADELÂNDIA;Adelândia;GO;CENTRO-OESTE
9771;5200175;ÁGUA FRIA DE GOIÁS;Água Fria de Goiás;GO;CENTRO-OESTE
9775;5203559;BONFINÓPOLIS;Bonfinópolis;GO;CENTRO-OESTE
9781;5204953;CAMPOS VERDES;Campos Verdes;GO;CENTRO-OESTE
9785;5205455;CEZARINA;Cezarina;GO;CENTRO-OESTE
9791;5205521;COLINAS DO SUL;Colinas do Sul;GO;CENTRO-OESTE
9795;5207352;EDEALINA;Edealina;GO;CENTRO-OESTE
9797;5207535;FAINA;Faina;GO;CENTRO-OESTE
9799;5209150;GOUVELÂNDIA;Gouvelândia;GO;CENTRO-OESTE
9919;5210562;ITAGUARI;Itaguari;GO;CENTRO-OESTE
9927;5212956;MATRINCHÃ;Matrinchã;GO;CENTRO-OESTE
9931;5213053;MIMOSO DE GOIÁS;Mimoso de Goiás;GO;CENTRO-OESTE
9933;5213756;MONTIVIDIU;Montividiu;GO;CENTRO-OESTE
9935;5213855;MORRO AGUDO DE GOIÁS;Morro Agudo de Goiás;GO;CENTRO-OESTE
9993;5209457;GUARINOS;Guarinos;GO;CENTRO-OESTE
9995;5218789;RIO QUENTE;Rio Quente;GO;CENTRO-OESTE
104;2100154;ÁGUA DOCE DO MARANHÃO;Água Doce do Maranhão;MA;NORDESTE
106;2100436;ALTO ALEGRE DO MARANHÃO;Alto Alegre do Maranhão;MA;NORDESTE
108;2100477;ALTO ALEGRE DO PINDARÉ;Alto Alegre do Pindaré;MA;NORDESTE
110;2100550;AMAPÁ DO MARANHÃO;Amapá do Maranhão;MA;NORDESTE
112;2100832;APICUM-AÇU;Apicum-Açu;MA;NORDESTE
114;2100873;ARAGUANÃ;Araguanã;MA;NORDESTE
116;2101251;BACABEIRA;Bacabeira;MA;NORDESTE
118;2101350;BACURITUBA;Bacurituba;MA;NORDESTE
120;2101731;BELÁGUA;Belágua;MA;NORDESTE
122;2101772;BELA VISTA DO MARANHÃO;Bela Vista do Maranhão;MA;NORDESTE
124;2101939;BERNARDO DO MEARIM;Bernardo do Mearim;MA;NORDESTE
126;2101970;BOA VISTA DO GURUPI;Boa Vista do Gurupi;MA;NORDESTE
128;2102036;BOM JESUS DAS SELVAS;Bom Jesus das Selvas;MA;NORDESTE
130;2102077;BOM LUGAR;Bom Lugar;MA;NORDESTE
132;2102150;BREJO DE AREIA;Brejo de Areia;MA;NORDESTE
134;2102325;BURITICUPU;Buriticupu;MA;NORDESTE
136;2102358;BURITIRANA;Buritirana;MA;NORDESTE
138;2102374;CACHOEIRA GRANDE;Cachoeira Grande;MA;NORDESTE
140;2102556;CAMPESTRE DO MARANHÃO;Campestre do Maranhão;MA;NORDESTE
142;2102754;CAPINZAL DO NORTE;Capinzal do Norte;MA;NORDESTE
144;2103125;CENTRAL DO MARANHÃO;Central do Maranhão;MA;NORDESTE
146;2103158;CENTRO DO GUILHERME;Centro do Guilherme;MA;NORDESTE
148;2103174;CENTRO NOVO DO MARANHÃO;Centro Novo do Maranhão;MA;NORDESTE
150;2103257;CIDELÂNDIA;Cidelândia;MA;NORDESTE
152;2103554;CONCEIÇÃO DO LAGO-AÇU;Conceição do Lago-Açu;MA;NORDESTE
154;2103752;DAVINÓPOLIS;Davinópolis;MA;NORDESTE
156;2104073;FEIRA NOVA DO MARANHÃO;Feira Nova do Maranhão;MA;NORDESTE
158;2104081;FERNANDO FALCÃO;Fernando Falcão;MA;NORDESTE
160;2104099;FORMOSA DA SERRA NEGRA;Formosa da Serra Negra;MA;NORDESTE
162;2104552;GOVERNADOR EDISON LOBÃO;Governador Edison Lobão;MA;NORDESTE
164;2104628;GOVERNADOR LUIZ ROCHA;Governador Luiz Rocha;MA;NORDESTE
166;2104651;GOVERNADOR NEWTON BELLO;Governador Newton Bello;MA;NORDESTE
168;2104677;GOVERNADOR NUNES FREIRE;Governador Nunes Freire;MA;NORDESTE
170;2105153;IGARAPÉ DO MEIO;Igarapé do Meio;MA;NORDESTE
172;2105351;ITAIPAVA DO GRAJAÚ;Itaipava do Grajaú;MA;NORDESTE
174;2105427;ITINGA DO MARANHÃO;Itinga do Maranhão;MA;NORDESTE
176;2105450;JATOBÁ;Jatobá;MA;NORDESTE
178;2105476;JENIPAPO DOS VIEIRAS;Jenipapo dos Vieiras;MA;NORDESTE
180;2105658;JUNCO DO MARANHÃO;Junco do Maranhão;MA;NORDESTE
182;2105922;LAGOA DO MATO;Lagoa do Mato;MA;NORDESTE
184;2105948;LAGO DOS RODRIGUES;Lago dos Rodrigues;MA;NORDESTE
186;2105963;LAGOA GRANDE DO MARANHÃO;Lagoa Grande do Maranhão;MA;NORDESTE
188;2105989;LAJEADO NOVO;Lajeado Novo;MA;NORDESTE
190;2106326;MARACAÇUMÉ;Maracaçumé;MA;NORDESTE
192;2106359;MARAJÁ DO SENA;Marajá do Sena;MA;NORDESTE
194;2106375;MARANHÃOZINHO;Maranhãozinho;MA;NORDESTE
196;2106631;MATÕES DO NORTE;Matões do Norte;MA;NORDESTE
198;2106672;MILAGRES DO MARANHÃO;Milagres do Maranhão;MA;NORDESTE
200;2107258;NOVA COLINAS;Nova Colinas;MA;NORDESTE
202;2107357;NOVA OLINDA DO MARANHÃO;Nova Olinda do Maranhão;MA;NORDESTE
204;2107456;OLINDA NOVA DO MARANHÃO;Olinda Nova do Maranhão;MA;NORDESTE
206;2108058;PAULINO NEVES;Paulino Neves;MA;NORDESTE
208;2108256;PEDRO DO ROSÁRIO;Pedro do Rosário;MA;NORDESTE
210;2108454;PERITORÓ;Peritoró;MA;NORDESTE
212;2109056;PORTO RICO DO MARANHÃO;Porto Rico do Maranhão;MA;NORDESTE
214;2109239;PRESIDENTE MÉDICI;Presidente Médici;MA;NORDESTE
216;2109270;PRESIDENTE SARNEY;Presidente Sarney;MA;NORDESTE
218;2109452;RAPOSA;Raposa;MA;NORDESTE
220;2109551;RIBAMAR FIQUENE;Ribamar Fiquene;MA;NORDESTE
222;2109759;SANTA FILOMENA DO MARANHÃO;Santa Filomena do Maranhão;MA;NORDESTE
224;2110237;SANTANA DO MARANHÃO;Santana do Maranhão;MA;NORDESTE
226;2110278;SANTO AMARO DO MARANHÃO;Santo Amaro do Maranhão;MA;NORDESTE
228;2110658;SÃO DOMINGOS DO AZEITÃO;São Domingos do Azeitão;MA;NORDESTE
230;2110856;SÃO FRANCISCO DO BREJÃO;São Francisco do Brejão;MA;NORDESTE
232;2111029;SÃO JOÃO DO CARÚ;São João do Carú;MA;NORDESTE
234;2111052;SÃO JOÃO DO PARAÍSO;São João do Paraíso;MA;NORDESTE
236;2111078;SÃO JOÃO DO SOTER;São João do Soter;MA;NORDESTE
238;2111250;SÃO JOSÉ DOS BASÍLIOS;São José dos Basílios;MA;NORDESTE
240;2111532;SÃO PEDRO DA ÁGUA BRANCA;São Pedro da Água Branca;MA;NORDESTE
242;2111573;SÃO PEDRO DOS CRENTES;São Pedro dos Crentes;MA;NORDESTE
244;2111631;SÃO RAIMUNDO DO DOCA BEZERRA;São Raimundo do Doca Bezerra;MA;NORDESTE
246;2111672;SÃO ROBERTO;São Roberto;MA;NORDESTE
248;2111722;SATUBINHA;Satubinha;MA;NORDESTE
250;2111748;SENADOR ALEXANDRE COSTA;Senador Alexandre Costa;MA;NORDESTE
252;2111763;SENADOR LA ROCQUE;Senador La Rocque;MA;NORDESTE
254;2111789;SERRANO DO MARANHÃO;Serrano do Maranhão;MA;NORDESTE
256;2111953;SUCUPIRA DO RIACHÃO;Sucupira do Riachão;MA;NORDESTE
258;2112233;TRIZIDELA DO VALE;Trizidela do Vale;MA;NORDESTE
260;2112274;TUFILÂNDIA;Tufilândia;MA;NORDESTE
262;2112456;TURILÂNDIA;Turilândia;MA;NORDESTE
264;2112852;VILA NOVA DOS MARTÍRIOS;Vila Nova dos Martírios;MA;NORDESTE
701;2100105;AFONSO CUNHA;Afonso Cunha;MA;NORDESTE
703;2100204;ALCÂNTARA;Alcântara;MA;NORDESTE
705;2100303;ALDEIAS ALTAS;Aldeias Altas;MA;NORDESTE
707;2100402;ALTAMIRA DO MARANHÃO;Altamira do Maranhão;MA;NORDESTE
709;2100501;ALTO PARNAÍBA;Alto Parnaíba;MA;NORDESTE
711;2100600;AMARANTE DO MARANHÃO;Amarante do Maranhão;MA;NORDESTE
713;2100709;ANAJATUBA;Anajatuba;MA;NORDESTE
715;2100808;ANAPURUS;Anapurus;MA;NORDESTE
717;2100907;ARAIOSES;Araioses;MA;NORDESTE
719;2101004;ARARI;Arari;MA;NORDESTE
721;2101103;AXIXÁ;Axixá;MA;NORDESTE
723;2101202;BACABAL;Bacabal;MA;NORDESTE
725;2101301;BACURI;Bacuri;MA;NORDESTE
727;2101400;BALSAS;Balsas;MA;NORDESTE
729;2101509;BARÃO DE GRAJAÚ;Barão de Grajaú;MA;NORDESTE
731;2101608;BARRA DO CORDA;Barra do Corda;MA;NORDESTE
733;2101707;BARREIRINHAS;Barreirinhas;MA;NORDESTE
735;2101806;BENEDITO LEITE;Benedito Leite;MA;NORDESTE
737;2101905;BEQUIMÃO;Bequimão;MA;NORDESTE
739;2102101;BREJO;Brejo;MA;NORDESTE
741;2102200;BURITI;Buriti;MA;NORDESTE
743;2102309;BURITI BRAVO;Buriti Bravo;MA;NORDESTE
745;2102408;CAJAPIÓ;Cajapió;MA;NORDESTE
747;2102507;CAJARI;Cajari;MA;NORDESTE
749;2102606;CÂNDIDO MENDES;Cândido Mendes;MA;NORDESTE
751;2102705;CANTANHEDE;Cantanhede;MA;NORDESTE
753;2102804;CAROLINA;Carolina;MA;NORDESTE
755;2102903;CARUTAPERA;Carutapera;MA;NORDESTE
757;2103000;CAXIAS;Caxias;MA;NORDESTE
759;2103109;CEDRAL;Cedral;MA;NORDESTE
761;2103208;CHAPADINHA;Chapadinha;MA;NORDESTE
763;2103307;CODÓ;Codó;MA;NORDESTE
765;2103406;COELHO NETO;Coelho Neto;MA;NORDESTE
767;2103505;COLINAS;Colinas;MA;NORDESTE
769;2103604;COROATÁ;Coroatá;MA;NORDESTE
771;2103703;CURURUPU;Cururupu;MA;NORDESTE
773;2103802;DOM PEDRO;Dom Pedro;MA;NORDESTE
775;2103901;DUQUE BACELAR;Duque Bacelar;MA;NORDESTE
777;2104008;ESPERANTINÓPOLIS;Esperantinópolis;MA;NORDESTE
779;2104107;FORTALEZA DOS NOGUEIRAS;Fortaleza dos Nogueiras;MA;NORDESTE
781;2104206;FORTUNA;Fortuna;MA;NORDESTE
783;2104305;GODOFREDO VIANA;Godofredo Viana;MA;NORDESTE
785;2104404;GONÇALVES DIAS;Gonçalves Dias;MA;NORDESTE
787;2104503;GOVERNADOR ARCHER;Governador Archer;MA;NORDESTE
789;2104602;GOVERNADOR EUGÊNIO BARROS;Governador Eugênio Barros;MA;NORDESTE
791;2104701;GRAÇA ARANHA;Graça Aranha;MA;NORDESTE
793;2104800;GRAJAÚ;Grajaú;MA;NORDESTE
795;2104909;GUIMARÃES;Guimarães;MA;NORDESTE
797;2105005;HUMBERTO DE CAMPOS;Humberto de Campos;MA;NORDESTE
799;2105104;ICATU;Icatu;MA;NORDESTE
801;2105203;IGARAPÉ GRANDE;Igarapé Grande;MA;NORDESTE
803;2105302;IMPERATRIZ;Imperatriz;MA;NORDESTE
805;2111409;SÃO LUÍS GONZAGA DO MARANHÃO;São Luís Gonzaga do Maranhão;MA;NORDESTE
807;2105401;ITAPECURU MIRIM;Itapecuru Mirim;MA;NORDESTE
809;2105500;JOÃO LISBOA;João Lisboa;MA;NORDESTE
811;2105609;JOSELÂNDIA;Joselândia;MA;NORDESTE
813;2105708;LAGO DA PEDRA;Lago da Pedra;MA;NORDESTE
815;2105807;LAGO DO JUNCO;Lago do Junco;MA;NORDESTE
817;2105906;LAGO VERDE;Lago Verde;MA;NORDESTE
819;2106003;LIMA CAMPOS;Lima Campos;MA;NORDESTE
821;2106102;LORETO;Loreto;MA;NORDESTE
823;2106201;LUÍS DOMINGUES;Luís Domingues;MA;NORDESTE
825;2106300;MAGALHÃES DE ALMEIDA;Magalhães de Almeida;MA;NORDESTE
827;2106409;MATA ROMA;Mata Roma;MA;NORDESTE
829;2106508;MATINHA;Matinha;MA;NORDESTE
831;2106607;MATÕES;Matões;MA;NORDESTE
833;2106706;MIRADOR;Mirador;MA;NORDESTE
835;2106805;MIRINZAL;Mirinzal;MA;NORDESTE
837;2106904;MONÇÃO;Monção;MA;NORDESTE
839;2107001;MONTES ALTOS;Montes Altos;MA;NORDESTE
841;2107100;MORROS;Morros;MA;NORDESTE
843;2107209;NINA RODRIGUES;Nina Rodrigues;MA;NORDESTE
845;2107308;NOVA IORQUE;Nova Iorque;MA;NORDESTE
847;2107407;OLHO D'ÁGUA DAS CUNHÃS;Olho d'Água das Cunhãs;MA;NORDESTE
849;2107506;PAÇO DO LUMIAR;Paço do Lumiar;MA;NORDESTE
851;2107605;PALMEIRÂNDIA;Palmeirândia;MA;NORDESTE
853;2107704;PARAIBANO;Paraibano;MA;NORDESTE
855;2107803;PARNARAMA;Parnarama;MA;NORDESTE
857;2107902;PASSAGEM FRANCA;Passagem Franca;MA;NORDESTE
859;2108009;PASTOS BONS;Pastos Bons;MA;NORDESTE
861;2108207;PEDREIRAS;Pedreiras;MA;NORDESTE
863;2108306;PENALVA;Penalva;MA;NORDESTE
865;2108405;PERI MIRIM;Peri Mirim;MA;NORDESTE
867;2108504;PINDARE MIRIM;Pindaré-Mirim;MA;NORDESTE
869;2108603;PINHEIRO;Pinheiro;MA;NORDESTE
871;2108702;PIO XII;Pio XII;MA;NORDESTE
873;2108801;PIRAPEMAS;Pirapemas;MA;NORDESTE
875;2108900;POÇÃO DE PEDRAS;Poção de Pedras;MA;NORDESTE
877;2109007;PORTO FRANCO;Porto Franco;MA;NORDESTE
879;2109106;PRESIDENTE DUTRA;Presidente Dutra;MA;NORDESTE
881;2109205;PRESIDENTE JUSCELINO;Presidente Juscelino;MA;NORDESTE
883;2109304;PRESIDENTE VARGAS;Presidente Vargas;MA;NORDESTE
885;2109403;PRIMEIRA CRUZ;Primeira Cruz;MA;NORDESTE
887;2109502;RIACHÃO;Riachão;MA;NORDESTE
889;2111201;SÃO JOSÉ DE RIBAMAR;São José de Ribamar;MA;NORDESTE
891;2109601;ROSÁRIO;Rosário;MA;NORDESTE
893;2109700;SAMBAÍBA;Sambaíba;MA;NORDESTE
895;2109809;SANTA HELENA;Santa Helena;MA;NORDESTE
897;2110005;SANTA LUZIA;Santa Luzia;MA;NORDESTE
899;2110104;SANTA QUITÉRIA DO MARANHÃO;Santa Quitéria do Maranhão;MA;NORDESTE
901;2110203;SANTA RITA;Santa Rita;MA;NORDESTE
903;2110302;SANTO ANTÔNIO DOS LOPES;Santo Antônio dos Lopes;MA;NORDESTE
905;2110401;SÃO BENEDITO DO RIO PRETO;São Benedito do Rio Preto;MA;NORDESTE
907;2110500;SÃO BENTO;São Bento;MA;NORDESTE
909;2110609;SÃO BERNARDO;São Bernardo;MA;NORDESTE
911;2110708;SÃO DOMINGOS DO MARANHÃO;São Domingos do Maranhão;MA;NORDESTE
913;2110807;SÃO FÉLIX DE BALSAS;São Félix de Balsas;MA;NORDESTE
915;2110906;SÃO FRANCISCO DO MARANHÃO;São Francisco do Maranhão;MA;NORDESTE
917;2111003;SÃO JOÃO BATISTA;São João Batista;MA;NORDESTE
919;2111102;SÃO JOÃO DOS PATOS;São João dos Patos;MA;NORDESTE
921;2111300;SÃO LUÍS;São Luís;MA;NORDESTE
923;2111508;SÃO MATEUS DO MARANHÃO;São Mateus do Maranhão;MA;NORDESTE
925;2111607;SÃO RAIMUNDO DAS MANGABEIRAS;São Raimundo das Mangabeiras;MA;NORDESTE
927;2111706;SÃO VICENTE FERRER;São Vicente Ferrer;MA;NORDESTE
929;2111805;SÍTIO NOVO;Sítio Novo;MA;NORDESTE
931;2111904;SUCUPIRA DO NORTE;Sucupira do Norte;MA;NORDESTE
933;2112001;TASSO FRAGOSO;Tasso Fragoso;MA;NORDESTE
935;2112100;TIMBIRAS;Timbiras;MA;NORDESTE
937;2112209;TIMON;Timon;MA;NORDESTE
939;2112308;TUNTUM;Tuntum;MA;NORDESTE
941;2112407;TURIAÇU;Turiaçu;MA;NORDESTE
943;2112506;TUTÓIA;Tutóia;MA;NORDESTE
945;2112605;URBANO SANTOS;Urbano Santos;MA;NORDESTE
947;2112704;VARGEM GRANDE;Vargem Grande;MA;NORDESTE
949;2112803;VIANA;Viana;MA;NORDESTE
951;2112902;VITÓRIA DO MEARIM;Vitória do Mearim;MA;NORDESTE
953;2113009;VITORINO FREIRE;Vitorino Freire;MA;NORDESTE
955;2102002;BOM JARDIM;Bom Jardim;MA;NORDESTE
957;2109908;SANTA INÊS;Santa Inês;MA;NORDESTE
959;2108108;PAULO RAMOS;Paulo Ramos;MA;NORDESTE
961;2100055;AÇAILÂNDIA;Açailândia;MA;NORDESTE
963;2104057;ESTREITO;Estreito;MA;NORDESTE
1281;2100956;ARAME;Arame;MA;NORDESTE
1283;2106755;MIRANDA DO NORTE;Miranda do Norte;MA;NORDESTE
1285;2110039;SANTA LUZIA DO PARUÁ;Santa Luzia do Paruá;MA;NORDESTE
1287;2114007;ZÉ DOCA;Zé Doca;MA;NORDESTE
564;3102050;ALTO CAPARAÓ;Alto Caparaó;MG;SUDESTE
566;3102852;ANGELÂNDIA;Angelândia;MG;SUDESTE
568;3104452;ARICANDUVA;Aricanduva;MG;SUDESTE
570;3106655;BERIZAL;Berizal;MG;SUDESTE
572;3108255;BONITO DE MINAS;Bonito de Minas;MG;SUDESTE
574;3108552;BRASILÂNDIA DE MINAS;Brasilândia de Minas;MG;SUDESTE
576;3109253;BUGRE;Bugre;MG;SUDESTE
578;3109451;CABECEIRA GRANDE;Cabeceira Grande;MG;SUDESTE
580;3111150;CAMPO AZUL;Campo Azul;MG;SUDESTE
582;3112059;CANTAGALO;Cantagalo;MG;SUDESTE
584;3115359;CATAS ALTAS;Catas Altas;MG;SUDESTE
586;3115474;CATUTI;Catuti;MG;SUDESTE
588;3116159;CHAPADA GAÚCHA;Chapada Gaúcha;MG;SUDESTE
590;3117836;CÔNEGO MARINHO;Cônego Marinho;MG;SUDESTE
592;3117876;CONFINS;Confins;MG;SUDESTE
594;3119955;CÓRREGO FUNDO;Córrego Fundo;MG;SUDESTE
596;3120151;CRISÓLITA;Crisólita;MG;SUDESTE
598;3120839;CUPARAQUE;Cuparaque;MG;SUDESTE
600;3120870;CURRAL DE DENTRO;Curral de Dentro;MG;SUDESTE
602;3121258;DELTA;Delta;MG;SUDESTE
604;3122355;DIVISA ALEGRE;Divisa Alegre;MG;SUDESTE
606;3122470;DOM BOSCO;Dom Bosco;MG;SUDESTE
608;3126752;FRANCISCÓPOLIS;Franciscópolis;MG;SUDESTE
610;3126950;FREI LAGONEGRO;Frei Lagonegro;MG;SUDESTE
612;3127073;FRUTA DE LEITE;Fruta de Leite;MG;SUDESTE
614;3127339;GAMELEIRAS;Gameleiras;MG;SUDESTE
616;3127354;GLAUCILÂNDIA;Glaucilândia;MG;SUDESTE
618;3127370;GOIABEIRA;Goiabeira;MG;SUDESTE
620;3127388;GOIANÁ;Goianá;MG;SUDESTE
622;3128253;GUARACIAMA;Guaraciama;MG;SUDESTE
624;3129657;IBIRACATU;Ibiracatu;MG;SUDESTE
626;3130556;IMBÉ DE MINAS;Imbé de Minas;MG;SUDESTE
628;3130655;INDAIABIRA;Indaiabira;MG;SUDESTE
630;3135357;JAPONVAR;Japonvar;MG;SUDESTE
632;3135456;JENIPAPO DE MINAS;Jenipapo de Minas;MG;SUDESTE
634;3136520;JOSÉ GONÇALVES DE MINAS;José Gonçalves de Minas;MG;SUDESTE
636;3136553;JOSÉ RAYDAN;José Raydan;MG;SUDESTE
638;3136579;JOSENÓPOLIS;Josenópolis;MG;SUDESTE
640;3136959;JUVENÍLIA;Juvenília;MG;SUDESTE
642;3138351;LEME DO PRADO;Leme do Prado;MG;SUDESTE
644;3138674;LUISBURGO;Luisburgo;MG;SUDESTE
646;3138682;LUISLÂNDIA;Luislândia;MG;SUDESTE
648;3140159;MÁRIO CAMPOS;Mário Campos;MG;SUDESTE
650;3140530;MARTINS SOARES;Martins Soares;MG;SUDESTE
652;3142254;MIRAVÂNIA;Miravânia;MG;SUDESTE
654;3143153;MONTE FORMOSO;Monte Formoso;MG;SUDESTE
656;3144359;NAQUE;Naque;MG;SUDESTE
658;3144375;NATALÂNDIA;Natalândia;MG;SUDESTE
660;3144656;NINHEIRA;Ninheira;MG;SUDESTE
662;3144672;NOVA BELÉM;Nova Belém;MG;SUDESTE
664;3145059;NOVA PORTEIRINHA;Nova Porteirinha;MG;SUDESTE
666;3145356;NOVO ORIENTE DE MINAS;Novo Oriente de Minas;MG;SUDESTE
668;3145372;NOVORIZONTE;Novorizonte;MG;SUDESTE
670;3145455;OLHOS-D'ÁGUA;Olhos-d'Água;MG;SUDESTE
